iter	RMSE
0	0.225428041
1	0.2241257605
2	0.2228920535
3	0.2216511656
4	0.2204339649
5	0.2192298586
6	0.2179952627
7	0.2168269352
8	0.2157014749
9	0.2146239882
10	0.2134840136
11	0.2123780919
12	0.2113373563
13	0.2102586013
14	0.2091962946
15	0.2081502118
16	0.2071201309
17	0.2061058326
18	0.2051071001
19	0.2041237191
20	0.203342232
21	0.2023847243
22	0.2014420049
23	0.2005142274
24	0.1995999569
25	0.198695523
26	0.197804825
27	0.1969187127
28	0.1960465028
29	0.1953497217
30	0.1945009193
31	0.1936654947
32	0.19299668
33	0.1923364429
34	0.1915327709
35	0.1907217593
36	0.1900862636
37	0.1894589495
38	0.1888397102
39	0.1882284404
40	0.187032298
41	0.1864357782
42	0.1858469085
43	0.1850525457
44	0.1839031975
45	0.1831755062
46	0.1820582656
47	0.181503687
48	0.1809562213
49	0.1802182269
50	0.1791058638
51	0.1785782797
52	0.1779081284
53	0.1773933478
54	0.176323963
55	0.1754509719
56	0.1749548568
57	0.1741054424
58	0.1734411325
59	0.1724275942
60	0.1718164158
61	0.1710062792
62	0.1704104801
63	0.1698243527
64	0.1688631751
65	0.1679225045
66	0.1674826776
67	0.1669250066
68	0.166171159
69	0.1654325501
70	0.1645413449
71	0.1641278595
72	0.1636009108
73	0.1628961433
74	0.16238275
75	0.1616970634
76	0.1608591093
77	0.1604750433
78	0.1599856228
79	0.1593316435
80	0.1585300299
81	0.1580593107
82	0.1575964817
83	0.1569726113
84	0.1562076714
85	0.1556042052
86	0.1551634805
87	0.1548234379
88	0.1539631307
89	0.1533883764
90	0.1530615365
91	0.1526464475
92	0.1522384278
93	0.1515438244
94	0.1512322787
95	0.1506849961
96	0.1502965711
97	0.1499148113
98	0.1493864321
99	0.1487335101
100	0.1484441738
101	0.1478084838
102	0.1474500104
103	0.1469601202
104	0.1466113002
105	0.1460050387
106	0.145666866
107	0.1451926393
108	0.1444953423
109	0.1440373155
110	0.1435890164
111	0.1432714696
112	0.1428574255
113	0.1424267997
114	0.1418823529
115	0.1415808508
116	0.1411873733
