iter	Passed	Remaining
0	0	217
1	0	199
2	1	187
3	1	176
4	1	162
5	1	152
6	1	144
7	2	141
8	2	138
9	2	139
10	3	143
11	3	143
12	3	140
13	3	141
14	4	145
15	4	143
16	4	141
17	4	139
18	5	139
19	5	138
20	5	139
21	6	141
22	6	140
23	6	139
24	6	139
25	7	137
26	7	138
27	7	137
28	7	136
29	8	135
30	8	133
31	8	132
32	8	131
33	8	130
34	9	129
35	9	130
36	9	130
37	10	130
38	10	129
39	10	127
40	10	127
41	10	127
42	11	126
43	11	125
44	11	124
45	11	124
46	12	124
47	12	123
48	12	123
49	12	123
50	13	122
51	13	122
52	13	121
53	13	120
54	13	120
55	14	120
56	14	119
57	14	119
58	14	118
59	15	118
60	15	117
61	15	117
62	15	117
63	16	116
64	16	116
65	16	115
66	16	115
67	16	114
68	17	114
69	17	113
70	17	113
71	17	113
72	18	113
73	18	112
74	18	112
75	18	112
76	19	112
77	19	111
78	19	111
79	19	111
80	20	111
81	20	111
82	20	110
83	20	110
84	21	110
85	21	110
86	21	109
87	21	109
88	22	109
89	22	109
90	22	108
91	22	108
92	23	108
93	23	107
94	23	107
95	23	107
96	24	107
97	24	106
98	24	106
99	24	105
100	24	105
101	25	105
102	25	104
103	25	104
104	25	104
105	26	104
106	26	104
107	26	103
108	26	103
109	27	103
110	27	102
111	27	102
112	27	102
113	28	102
114	28	102
115	28	101
116	28	101
117	28	101
118	29	100
119	29	100
120	29	99
121	29	99
122	30	99
123	30	99
124	30	98
125	30	98
126	31	98
127	31	98
128	31	98
129	31	98
130	32	98
131	32	98
132	33	98
133	33	98
134	33	98
135	33	97
136	34	97
137	34	97
138	34	97
139	34	97
140	35	96
141	35	96
142	35	96
143	35	96
144	36	96
145	36	95
146	36	95
147	36	95
148	37	95
149	37	94
150	37	94
151	37	94
152	38	94
153	38	93
154	38	93
155	38	93
156	39	93
157	39	92
158	39	92
159	39	92
160	40	92
161	40	91
162	40	91
163	40	91
164	41	90
165	41	90
166	41	90
167	41	90
168	42	90
169	42	89
170	42	89
171	42	89
172	43	88
173	43	88
174	43	88
175	43	87
176	43	87
177	44	87
178	44	86
179	44	86
180	44	86
181	45	86
182	45	86
183	45	86
184	46	85
185	46	85
186	46	85
187	46	85
188	47	85
189	47	85
190	47	84
191	48	84
192	48	84
193	48	84
194	48	84
195	49	83
196	49	83
197	49	83
198	49	82
199	50	82
200	50	82
201	50	82
202	50	81
203	51	81
204	51	81
205	51	81
206	51	81
207	52	80
208	52	80
209	52	80
210	53	80
211	53	79
212	53	79
213	53	79
214	54	79
215	54	78
216	54	78
217	54	78
218	54	78
219	55	77
220	55	77
221	55	77
222	55	77
223	56	76
224	56	76
225	56	76
226	56	75
227	57	75
228	57	75
229	57	75
230	57	74
231	57	74
232	58	74
233	58	73
234	58	73
235	58	73
236	59	73
237	59	72
238	59	72
239	59	72
240	59	71
241	60	71
242	60	71
243	60	71
244	60	70
245	61	70
246	61	70
247	61	69
248	61	69
249	61	69
250	62	69
251	62	68
252	62	68
253	62	68
254	63	68
255	63	67
256	63	67
257	63	67
258	64	67
259	64	66
260	64	66
261	64	66
262	65	66
263	65	65
264	65	65
265	65	65
266	66	65
267	66	65
268	66	64
269	66	64
270	67	64
271	67	63
272	67	63
273	67	63
274	68	63
275	68	62
276	68	62
277	68	62
278	69	62
279	69	61
280	69	61
281	69	61
282	69	61
283	70	60
284	70	60
285	70	60
286	70	60
287	71	59
288	71	59
289	71	59
290	71	59
291	72	58
292	72	58
293	72	58
294	72	57
295	72	57
296	73	57
297	73	57
298	73	56
299	73	56
300	74	56
301	74	56
302	74	55
303	74	55
304	75	55
305	75	55
306	75	54
307	75	54
308	75	54
309	76	53
310	76	53
311	76	53
312	76	53
313	76	52
314	77	52
315	77	52
316	77	52
317	77	51
318	78	51
319	78	51
320	78	51
321	78	50
322	78	50
323	79	50
324	79	50
325	79	49
326	80	49
327	80	49
328	80	49
329	80	49
330	81	48
331	81	48
332	81	48
333	81	48
334	82	47
335	82	47
336	82	47
337	82	46
338	82	46
339	83	46
340	83	46
341	83	45
342	83	45
343	84	45
344	84	45
345	84	45
346	84	44
347	85	44
348	85	44
349	85	43
350	85	43
351	85	43
352	86	43
353	86	42
354	86	42
355	86	42
356	87	42
357	87	41
358	87	41
359	87	41
360	87	41
361	88	40
362	88	40
363	88	40
364	88	40
365	89	39
366	89	39
367	89	39
368	89	39
369	90	38
370	90	38
371	90	38
372	90	38
373	90	37
374	91	37
375	91	37
376	91	37
377	91	36
378	92	36
379	92	36
380	92	36
381	92	35
382	93	35
383	93	35
384	93	35
385	94	35
386	94	34
387	94	34
388	94	34
389	95	34
390	95	33
391	95	33
392	95	33
393	96	33
394	96	32
395	96	32
396	96	32
397	96	32
398	97	31
399	97	31
400	97	31
401	97	31
402	98	30
403	98	30
404	98	30
405	98	30
406	99	29
407	99	29
408	99	29
409	99	29
410	99	28
411	100	28
412	100	28
413	100	28
414	100	27
415	101	27
416	101	27
417	101	27
418	101	26
419	101	26
420	102	26
421	102	26
422	102	25
423	102	25
424	103	25
425	103	25
426	103	24
427	103	24
428	103	24
429	104	24
430	104	23
431	104	23
432	104	23
433	105	23
434	105	23
435	105	22
436	105	22
437	106	22
438	106	22
439	106	21
440	106	21
441	106	21
442	107	21
443	107	20
444	107	20
445	107	20
446	108	20
447	108	19
448	108	19
449	109	19
450	109	19
451	109	18
452	109	18
453	110	18
454	110	18
455	110	17
456	110	17
457	111	17
458	111	17
459	111	16
460	111	16
461	112	16
462	112	16
463	112	16
464	112	15
465	113	15
466	113	15
467	113	15
468	113	14
469	114	14
470	114	14
471	114	14
472	114	13
473	115	13
474	115	13
475	115	13
476	115	12
477	115	12
478	116	12
479	116	12
480	116	11
481	116	11
482	117	11
483	117	11
484	117	10
485	117	10
486	118	10
487	118	10
488	118	9
489	118	9
490	118	9
491	119	9
492	119	8
493	119	8
494	119	8
495	119	8
496	120	7
497	120	7
498	120	7
499	120	7
500	121	7
501	121	6
502	121	6
503	122	6
504	122	6
505	122	5
506	123	5
507	123	5
508	123	5
509	123	4
510	124	4
511	124	4
512	124	4
513	125	3
514	125	3
515	125	3
516	125	3
517	125	2
518	126	2
519	126	2
520	126	2
521	126	1
522	126	1
523	127	1
524	127	1
525	127	0
526	127	0
527	128	0
528	128	0
529	128	0
