perovskite,BG,Cs,FA,MA,Pb,Sn,I,Br
Cs0.01FA0.39MA0.6PbBr0.025I2.975,1.6,0.01,0.39,0.6,1,0,2.975,0.025
Cs0.01MA0.99PbBr0.03I2.97,1.6,0.01,0,0.99,1,0,2.97,0.03
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,1.27,0.025,0.475,0.5,0.5,0.5,3,0
Cs0.025FA0.825MA0.15PbBr0.45I2.55,1.651,0.025,0.825,0.15,1,0,2.55,0.45
Cs0.02FA0.38MA0.6PbBr0.025I2.975,1.6,0.02,0.38,0.6,1,0,2.975,0.025
Cs0.02MA0.98PbBr0.06I2.94,1.6,0.02,0,0.98,1,0,2.94,0.06
Cs0.03FA0.37MA0.6PbBr0.025I2.975,1.6,0.03,0.37,0.6,1,0,2.975,0.025
Cs0.03FA0.77MA0.2PbBr0.46I2.54,1.5,0.03,0.77,0.2,1,0,2.54,0.46
Cs0.03FA0.81MA0.16PbBr0.50I2.50,1.63,0.03,0.81,0.16,1,0,2.5,0.5
Cs0.03FA0.945MA0.025PbBr0.075I2.925,1.56,0.03,0.945,0.025,1,0,2.925,0.075
Cs0.03FA0.97PbI3,1.553,0.03,0.97,0,1,0,3,0
Cs0.03MA0.97PbBr0.09I2.91,1.6,0.03,0,0.97,1,0,2.91,0.09
Cs0.04FA0.80MA0.16PbBr0.50I2.50,1.632,0.04,0.8,0.16,1,0,2.5,0.5
Cs0.04FA0.80MA0.16PbBr0.51I2.49,1.61,0.04,0.8,0.16,1,0,2.49,0.51
Cs0.04FA0.82MA0.14PbBr0.42I2.58,1.58,0.04,0.82,0.14,1,0,2.58,0.42
Cs0.04FA0.8MA0.16PbBr0.49I2.51,1.62,0.04,0.8,0.16,1,0,2.51,0.49
Cs0.05FA0.38MA0.57PbBr0.2I2.8,1.57,0.05,0.38,0.57,1,0,2.8,0.2
Cs0.05FA0.45MA0.5Pb0.5Sn0.5I3,1.26,0.05,0.45,0.5,0.5,0.5,3,0
Cs0.05FA0.55MA0.4PbBr0.12I2.88,1.56,0.05,0.55,0.4,1,0,2.88,0.12
Cs0.05FA0.57MA0.38PbI3,1.54,0.05,0.57,0.38,1,0,3,0
Cs0.05FA0.5MA0.45Pb0.5Sn0.5I3,1.22,0.05,0.5,0.45,0.5,0.5,3,0
Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55,0.05,0.65,0.3,1,0,2.85,0.15
Cs0.05FA0.68MA0.26Pb0.75Sn0.25Br0.4I2.6,1.36,0.05,0.68,0.26,0.75,0.25,2.6,0.4
Cs0.05FA0.70MA0.25PbI3,1.51,0.05,0.7,0.25,1,0,3,0
Cs0.05FA0.75MA0.2PbI3,1.52,0.05,0.75,0.2,1,0,3,0
Cs0.05FA0.76MA0.16PbBr0.49I2.51,1.6,0.05,0.76,0.16,1,0,2.51,0.49
Cs0.05FA0.76MA0.19PbBr0.6I2.4,1.59,0.05,0.76,0.19,1,0,2.4,0.6
Cs0.05FA0.7885MA0.1441PbBr0.3I2.7,1.55,0.05,0.7885,0.1441,1,0,2.7,0.3
Cs0.05FA0.7885MA0.1615PbBr0.3I2.7,1.55,0.05,0.7885,0.1615,1,0,2.7,0.3
Cs0.05FA0.7885MA0.1615PbBr0.4845I2.51555,1.6,0.05,0.7885,0.1615,1,0,2.51555,0.4845
Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,1.57,0.05,0.7885,0.1615,1,0,2.49,0.51
Cs0.05FA0.788MA0.162PbBr0.51I2.49,1.59,0.05,0.788,0.162,1,0,2.49,0.51
Cs0.05FA0.78MA0.13PbBr0.45I2.55,1.6,0.05,0.78,0.13,1,0,2.55,0.45
Cs0.05FA0.79MA0.160Pb1.0Br0.3I2.7,1.55,0.05,0.79,0.16,1,0,2.7,0.3
Cs0.05FA0.79MA0.16Pb0.25Sn0.75Br0.5I2.5,1.3,0.05,0.79,0.16,0.25,0.75,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.58Sn0.42Br0.52I2.48,1.38,0.05,0.79,0.16,0.58,0.42,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.5Sn0.5Br0.5I2.5,1.31,0.05,0.79,0.16,0.5,0.5,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.664Sn0.336Br0.52I2.48,1.38,0.05,0.79,0.16,0.664,0.336,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.748Sn0.252Br0.52I2.48,1.38,0.05,0.79,0.16,0.748,0.252,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.75Sn0.25Br0.5I2.5,1.34,0.05,0.79,0.16,0.75,0.25,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.832Sn0.168Br0.52I2.48,1.38,0.05,0.79,0.16,0.832,0.168,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.916Sn0.084Br0.52I2.48,1.38,0.05,0.79,0.16,0.916,0.084,2.48,0.52
Cs0.05FA0.79MA0.16Pb1.1Br0.51I2.49,1.59,0.05,0.79,0.16,1.1,0,2.49,0.51
Cs0.05FA0.79MA0.16PbBr0.31I2.7,1.59,0.05,0.79,0.16,1,0,2.7,0.31
Cs0.05FA0.79MA0.16PbBr0.39I2.61,1.59,0.05,0.79,0.16,1,0,2.61,0.39
Cs0.05FA0.79MA0.16PbBr0.3I2.7,1.57,0.05,0.79,0.16,1,0,2.7,0.3
Cs0.05FA0.79MA0.16PbBr0.45I2.55,1.6,0.05,0.79,0.16,1,0,2.55,0.45
Cs0.05FA0.79MA0.16PbBr0.47I2.53,1.59,0.05,0.79,0.16,1,0,2.53,0.47
Cs0.05FA0.79MA0.16PbBr0.48I2.52,1.55,0.05,0.79,0.16,1,0,2.52,0.48
Cs0.05FA0.79MA0.16PbBr0.50I2.5,1.63,0.05,0.79,0.16,1,0,2.5,0.5
Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.63,0.05,0.79,0.16,1,0,2.49,0.51
Cs0.05FA0.79MA0.16PbBr0.52I2.48,1.38,0.05,0.79,0.16,1,0,2.48,0.52
Cs0.05FA0.79MA0.16PbBr0.5I2.5,1.5,0.05,0.79,0.16,1,0,2.5,0.5
Cs0.05FA0.79MA0.16PbBr1.5I1.5,1.85,0.05,0.79,0.16,1,0,1.5,1.5
Cs0.05FA0.79MA0.16PbBrI2,1.61,0.05,0.79,0.16,1,0,2,1
Cs0.05FA0.79MA0.16PbI3,1.54,0.05,0.79,0.16,1,0,3,0
Cs0.05FA0.79MA0.16SnBr0.5I2.5,1.45,0.05,0.79,0.16,0,1,2.5,0.5
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,1.6,0.05,0.8075,0.1425,1,0,2.55,0.45
Cs0.05FA0.80MA0.15PbBr0.45I2.55,1.59,0.05,0.8,0.15,1,0,2.55,0.45
Cs0.05FA0.81MA0.14PbBr0.39I2.61,1.59,0.05,0.81,0.14,1,0,2.61,0.39
Cs0.05FA0.81MA0.14PbBr0.42I2.58,1.61,0.05,0.81,0.14,1,0,2.58,0.42
Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.63,0.05,0.81,0.14,1,0,2.55,0.45
Cs0.05FA0.81MA0.14PbBr0.4I2.6,1.61,0.05,0.81,0.14,1,0,2.6,0.4
