Perovskite_dimension_3D,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_band_gap
TRUE,TRUE,CsSnI,CsSnI3,1.27
TRUE,TRUE,CsSnBrI,CsSnBr0.3I2.7,
TRUE,TRUE,CsSnBrI,CsSnBr1.5I1.5,
TRUE,TRUE,CsSnBrI,CsSnBr2.7I0.3,
TRUE,TRUE,CsSnBr,CsSnBr3,1.75
TRUE,TRUE,CsSnI,CsSnI3,1.27
TRUE,TRUE,CsSnBrI,CsSnBrI2,1.37
TRUE,TRUE,CsSnBrI,CsSnBr2I,1.65
TRUE,TRUE,CsSnBr,CsSnBr3,1.75
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbBr,MAPbBr3,2.2
TRUE,TRUE,MAPbBr,MAPbBr3,2.2
TRUE,TRUE,MAPbBr,MAPbBr3,2.2
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,MAPbI,MAPbI3,1.6
TRUE,TRUE,CsFAMAPbBrI,Cs0.05FA0.788MA0.162PbBr0.51I2.49,1.59
TRUE,TRUE,CsFAGUMAPbBrI,Cs0.05FA0.788GU0.032MA0.129PbBr0.51I2.49,1.605
TRUE,TRUE,CsFAGUMAPbBrI,Cs0.05FA0.788GU0.065MA0.097PbBr0.51I2.49,1.615
